date,totalLiquidityUSD
2024-06-05 00:00:00,3556445217
2024-06-06 00:00:00,3565540116
2024-06-07 00:00:00,3562158647
2024-06-08 00:00:00,3477737166
2024-06-09 00:00:00,3446471873
2024-06-10 00:00:00,3562117877
2024-06-11 00:00:00,3475548840
2024-06-12 00:00:00,3396025628
2024-06-13 00:00:00,3459439192
2024-06-14 00:00:00,3383559520
2024-06-15 00:00:00,3349411626
2024-06-16 00:00:00,3405796785
2024-06-17 00:00:00,3446245172
2024-06-18 00:00:00,3345103677
2024-06-19 00:00:00,3258517904
2024-06-20 00:00:00,3350348212
2024-06-22 00:00:00,3283610064
2024-06-23 00:00:00,3298986144
2024-06-25 00:00:00,3333350070
2024-06-26 00:00:00,3368386395
2024-06-27 00:00:00,3304932668
2024-06-28 00:00:00,3356684732
2024-06-29 00:00:00,3323012371
2024-06-30 00:00:00,3323375894
2024-07-01 00:00:00,3392759723
2024-07-02 00:00:00,3401078693
2024-07-03 00:00:00,3355389520
2024-07-04 00:00:00,3237442181
2024-07-05 00:00:00,3143545947
2024-07-06 00:00:00,2995869495
2024-07-07 00:00:00,3046465536
2024-07-08 00:00:00,2959811002
2024-07-09 00:00:00,3000833027
2024-07-10 00:00:00,3024274447
2024-07-11 00:00:00,3051560861
2024-07-12 00:00:00,3047467128
2024-07-13 00:00:00,3046696649
2024-07-14 00:00:00,3093766745
2024-07-15 00:00:00,3108380751
2024-07-16 00:00:00,3363098195
2024-07-17 00:00:00,3716530386
2024-07-18 00:00:00,3392328685
2024-07-19 00:00:00,3387355852
2024-07-20 00:00:00,3479594074
2024-07-21 00:00:00,3580559704
2024-07-22 00:00:00,3471204268
2024-07-23 00:00:00,3364698067
2024-07-24 00:00:00,3392960783
2024-07-25 00:00:00,3272350149
2024-07-26 00:00:00,3144911263
2024-07-27 00:00:00,3350532579
2024-07-28 00:00:00,3335462533
2024-07-29 00:00:00,3264547219
2024-07-30 00:00:00,3375514658
2024-07-31 00:00:00,3288555682
2024-08-01 00:00:00,3236797340
2024-08-02 00:00:00,3187281534
2024-08-03 00:00:00,2996707878
2024-08-04 00:00:00,2986708508
2024-08-05 00:00:00,2841013528
2024-08-06 00:00:00,2539645847
2024-08-07 00:00:00,2624114848
2024-08-08 00:00:00,2518073363
2024-08-09 00:00:00,2647437533
2024-08-10 00:00:00,2737986232
2024-08-11 00:00:00,2694887766
2024-08-12 00:00:00,2686277575
2024-08-13 00:00:00,2779368608
2024-08-14 00:00:00,2848839256
2024-08-15 00:00:00,2748508489
2024-08-16 00:00:00,2658162736
2024-08-17 00:00:00,2674238777
2024-08-18 00:00:00,2695610353
2024-08-19 00:00:00,2715828047
2024-08-20 00:00:00,2697553336
2024-08-21 00:00:00,2803613477
2024-08-22 00:00:00,2845090811
2024-08-23 00:00:00,2839933716
2024-08-24 00:00:00,2984980737
2024-08-25 00:00:00,2952279090
2024-08-26 00:00:00,2888555830
2024-08-27 00:00:00,2928188934
2024-08-28 00:00:00,2737840561
2024-08-29 00:00:00,2777031320
2024-08-30 00:00:00,2731093605
2024-08-31 00:00:00,2798425693
2024-09-01 00:00:00,2741810533
2024-09-02 00:00:00,2770966258
2024-09-03 00:00:00,2823556408
2024-09-04 00:00:00,2703947324
2024-09-05 00:00:00,2714467278
2024-09-06 00:00:00,2653101935
2024-09-07 00:00:00,2528222472
2024-09-08 00:00:00,2569811584
2024-09-09 00:00:00,2602218753
2024-09-10 00:00:00,2690437694
2024-09-11 00:00:00,2740087273
2024-09-12 00:00:00,2730962115
2024-09-13 00:00:00,2744179131
2024-09-14 00:00:00,2874006115
2024-09-15 00:00:00,2800045998
2024-09-16 00:00:00,2751559602
2024-09-17 00:00:00,2675654878
2024-09-18 00:00:00,2791705803
2024-09-19 00:00:00,2739315660
2024-09-20 00:00:00,2881668865
2024-09-21 00:00:00,2930780927
2024-09-22 00:00:00,2951338156
2024-09-23 00:00:00,2865832889
2024-09-24 00:00:00,3025484439
2024-09-25 00:00:00,3050515084
2024-09-26 00:00:00,3001323079
2024-09-27 00:00:00,3069114099
2024-09-28 00:00:00,3108747591
2024-09-29 00:00:00,3105818673
2024-09-30 00:00:00,3082641226
2024-10-01 00:00:00,3026410686
2024-10-02 00:00:00,2920982398
2024-10-03 00:00:00,2851035522
2024-10-04 00:00:00,2793801640
2024-10-05 00:00:00,2959758263
2024-10-06 00:00:00,2919528899
2024-10-07 00:00:00,2933953742
2024-10-08 00:00:00,2956416614
2024-10-09 00:00:00,2906810561
2024-10-10 00:00:00,2914900753
2024-10-11 00:00:00,2902150470
2024-10-12 00:00:00,3023221271
2024-10-13 00:00:00,3055421776
2024-10-14 00:00:00,3048065833
2024-10-15 00:00:00,3189573676
2024-10-16 00:00:00,3157559644
